date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:16	12273/12273	---MCZ	200	added ('OK')	text/html	etag:W/%222ff1-5eca817740781%22	https://preview.uiuxassets.com/opalin/index.html	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/index.html	(from )
00:10:17	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Jan%202024%2017:10:16%20GMT	https://preview.uiuxassets.com/robots.txt		(from )
00:10:17	1475/1475	---M--	200	added ('OK')	image/png	etag:%225c3-5eca817867661%22	https://preview.uiuxassets.com/opalin/media/favicon.png	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/favicon.png	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:17	458/458	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221ca-5eca8178695a1%22	https://preview.uiuxassets.com/opalin/media/favicon.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/favicon.svg	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:18	52860/52860	---MCZ	200	added ('OK')	text/css	etag:W/%22ce7c-5eca8177be72f%22	https://preview.uiuxassets.com/opalin/css/main.css	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/css/main.css	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:18	8184/8184	---MCZ	200	added ('OK')	text/html	etag:W/%221ff8-5eca8177a31ac%22	https://preview.uiuxassets.com/opalin/pricing.html	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/pricing.html	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:18	8260/8260	---MCZ	200	added ('OK')	text/html	etag:W/%222044-5eca81770ea9c%22	https://preview.uiuxassets.com/opalin/about.html	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/about.html	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:19	2042/2042	---MCZ	200	added ('OK')	text/html	etag:W/%227fa-5eca817759dc4%22	https://preview.uiuxassets.com/opalin/login.html	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/login.html	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:19	2124/2124	---MCZ	200	added ('OK')	text/html	etag:W/%2284c-5eca8177ba8ae%22	https://preview.uiuxassets.com/opalin/signup.html	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/signup.html	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:20	47540/47540	---M--	200	added ('OK')	image/png	etag:%22b9b4-5eca817cb1155%22	https://preview.uiuxassets.com/opalin/media/content/hero-illustration.png	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/content/hero-illustration.png	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:20	23673/23673	---M--	200	added ('OK')	image/png	etag:%225c79-5eca817c7e4d0%22	https://preview.uiuxassets.com/opalin/media/content/editor.png	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/content/editor.png	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:20	18618/18618	---M--	200	added ('OK')	image/png	etag:%2248ba-5eca817cf189c%22	https://preview.uiuxassets.com/opalin/media/content/sketch.png	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/content/sketch.png	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:20	47731/47731	---M--	200	added ('OK')	image/png	etag:%22ba73-5eca817ce5d1b%22	https://preview.uiuxassets.com/opalin/media/content/opalin-dashboard.png	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/content/opalin-dashboard.png	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:21	976/976	---M--	200	added ('OK')	image/png	etag:%223d0-5eca817d45865%22	https://preview.uiuxassets.com/opalin/media/content/trusted-company-dark.png	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/content/trusted-company-dark.png	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:21	58983/58983	---M--	200	added ('OK')	image/jpeg	etag:%22e667-5eca817c7776f%22	https://preview.uiuxassets.com/opalin/media/content/customers.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/content/customers.jpg	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:21	1116/1116	---MCZ	200	added ('OK')	text/javascript	etag:W/%2245c-5eca8177ed534%22	https://preview.uiuxassets.com/opalin/js/main.js	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/js/main.js	(from https://preview.uiuxassets.com/opalin/index.html)
00:10:21	507/507	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221fb-5eca817a681b7%22	https://preview.uiuxassets.com/opalin/media/bg/shape-01.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/shape-01.svg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:22	593/593	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22251-5eca817af4bc6%22	https://preview.uiuxassets.com/opalin/media/bg/shape-dark-01.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/shape-dark-01.svg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:22	577/577	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22241-5eca817a9219c%22	https://preview.uiuxassets.com/opalin/media/bg/shape-02.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/shape-02.svg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:22	724/724	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222d4-5eca817b0d269%22	https://preview.uiuxassets.com/opalin/media/bg/shape-dark-02.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/shape-dark-02.svg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:23	586/586	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2224a-5eca817aab7de%22	https://preview.uiuxassets.com/opalin/media/bg/shape-03.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/shape-03.svg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:23	589/589	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2224d-5eca817b2590b%22	https://preview.uiuxassets.com/opalin/media/bg/shape-dark-03.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/shape-dark-03.svg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:23	629/629	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22275-5eca817ac3e81%22	https://preview.uiuxassets.com/opalin/media/bg/shape-04.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/shape-04.svg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:24	632/632	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22278-5eca817b40e8e%22	https://preview.uiuxassets.com/opalin/media/bg/shape-dark-04.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/shape-dark-04.svg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:24	642/642	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22282-5eca817adc523%22	https://preview.uiuxassets.com/opalin/media/bg/shape-05.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/shape-05.svg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:24	645/645	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22285-5eca817b5a4d1%22	https://preview.uiuxassets.com/opalin/media/bg/shape-dark-05.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/shape-dark-05.svg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:24	1747/1747	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226d3-5eca817af5b66%22	https://preview.uiuxassets.com/opalin/media/bg/shape-06.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/shape-06.svg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:25	1927/1927	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22787-5eca817b5a4d1%22	https://preview.uiuxassets.com/opalin/media/bg/shape-dark-06.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/shape-dark-06.svg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:25	55135/55135	---M--	200	added ('OK')	image/jpeg	etag:%22d75f-5eca81789c226%22	https://preview.uiuxassets.com/opalin/media/bg/image-01.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-01.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:26	154144/154144	---M--	200	added ('OK')	image/jpeg	etag:%2225a20-5eca8178cdf0b%22	https://preview.uiuxassets.com/opalin/media/bg/image-01@2x.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-01@2x.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:27	41378/41378	---M--	200	added ('OK')	image/jpeg	etag:%22a1a2-5eca81793f398%22	https://preview.uiuxassets.com/opalin/media/bg/image-02.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-02.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:27	101517/101517	---M--	200	added ('OK')	image/jpeg	etag:%2218c8d-5eca81793f398%22	https://preview.uiuxassets.com/opalin/media/bg/image-02@2x.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-02@2x.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:28	195194/195194	---M--	200	added ('OK')	image/jpeg	etag:%222fa7a-5eca81791eff4%22	https://preview.uiuxassets.com/opalin/media/bg/image-03.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-03.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:29	361783/361783	---M--	200	added ('OK')	image/jpeg	etag:%2258537-5eca81788b884%22	https://preview.uiuxassets.com/opalin/media/bg/image-04@2x.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-04@2x.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:29	579922/579922	---M--	200	added ('OK')	image/jpeg	etag:%228d952-5eca817951c79%22	https://preview.uiuxassets.com/opalin/media/bg/image-03@2x.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-03@2x.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:30	119697/119697	---M--	200	added ('OK')	image/jpeg	etag:%221d391-5eca81795b8bb%22	https://preview.uiuxassets.com/opalin/media/bg/image-04.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-04.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:30	102601/102601	---M--	200	added ('OK')	image/jpeg	etag:%22190c9-5eca817994301%22	https://preview.uiuxassets.com/opalin/media/bg/image-05.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-05.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:31	370125/370125	---M--	200	added ('OK')	image/jpeg	etag:%225a5cd-5eca8179c7f26%22	https://preview.uiuxassets.com/opalin/media/bg/image-05@2x.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-05@2x.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:31	177738/177738	---M--	200	added ('OK')	image/jpeg	etag:%222b64a-5eca8179fda8c%22	https://preview.uiuxassets.com/opalin/media/bg/image-06.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-06.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:32	121087/121087	---M--	200	added ('OK')	image/jpeg	etag:%221d8ff-5eca8179e53e9%22	https://preview.uiuxassets.com/opalin/media/bg/image-07.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-07.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:32	518889/518889	---M--	200	added ('OK')	image/jpeg	etag:%227eae9-5eca817a9219c%22	https://preview.uiuxassets.com/opalin/media/bg/image-06@2x.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-06@2x.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:32	403986/403986	---M--	200	added ('OK')	image/jpeg	etag:%2262a12-5eca817a141ee%22	https://preview.uiuxassets.com/opalin/media/bg/image-07@2x.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-07@2x.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:32	627/627	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22273-5eca817b78934%22	https://preview.uiuxassets.com/opalin/media/bg/shape-hero.svg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/shape-hero.svg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:32	171059/171059	---M--	200	added ('OK')	image/jpeg	etag:%2229c33-5eca817a32651%22	https://preview.uiuxassets.com/opalin/media/bg/image-08.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-08.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:33	96424/96424	---M--	200	added ('OK')	image/jpeg	etag:%22178a8-5eca817be4000%22	https://preview.uiuxassets.com/opalin/media/content/about-01.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/content/about-01.jpg	(from https://preview.uiuxassets.com/opalin/about.html)
00:10:33	32920/32920	---M--	200	added ('OK')	image/jpeg	etag:%228098-5eca817c12e05%22	https://preview.uiuxassets.com/opalin/media/content/about-02.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/content/about-02.jpg	(from https://preview.uiuxassets.com/opalin/about.html)
00:10:33	35623/35623	---M--	200	added ('OK')	image/jpeg	etag:%228b27-5eca817c2a507%22	https://preview.uiuxassets.com/opalin/media/content/about-03.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/content/about-03.jpg	(from https://preview.uiuxassets.com/opalin/about.html)
00:10:34	944/944	---M--	200	added ('OK')	image/png	etag:%223b0-5eca817d4a686%22	https://preview.uiuxassets.com/opalin/media/content/trusted-company.png	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/content/trusted-company.png	(from https://preview.uiuxassets.com/opalin/about.html)
00:10:34	550414/550414	---M--	200	added ('OK')	image/jpeg	etag:%228660e-5eca817a5b696%22	https://preview.uiuxassets.com/opalin/media/bg/image-08@2x.jpg	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/media/bg/image-08@2x.jpg	(from https://preview.uiuxassets.com/opalin/css/main.css)
00:10:34	1628/1628	---MCZ	200	added ('OK')	text/html	etag:W/%2265c-5eca817740781%22	https://preview.uiuxassets.com/opalin/forgot-password.html	C:/Users/dimas/Downloads/landing-antrein/preview.uiuxassets.com/opalin/forgot-password.html	(from https://preview.uiuxassets.com/opalin/login.html)
